,rounded_time,bikes_rented,bikes_returned,temperature,humidity,windSpeed
0,2024-10-03 00:00:00,0.0,0.0,15.13,87.0,1.5
1,2024-10-03 00:10:00,31.0,41.0,15.0,88.0,1.5
2,2024-10-03 00:20:00,21.0,27.0,14.88,88.0,1.38
3,2024-10-03 00:30:00,16.0,21.0,15.5,87.0,1.38
4,2024-10-03 00:40:00,20.0,23.0,15.38,88.0,1.38
5,2024-10-03 00:50:00,15.0,13.0,15.13,89.0,1.63
6,2024-10-03 01:00:00,13.0,27.0,15.0,90.0,1.69
7,2024-10-03 01:10:00,24.0,19.0,14.81,90.0,1.69
8,2024-10-03 01:20:00,22.0,28.0,14.81,90.0,1.69
9,2024-10-03 01:30:00,18.0,27.0,15.69,87.0,1.0
10,2024-10-03 01:40:00,12.0,17.0,15.69,86.0,1.0
11,2024-10-03 01:50:00,11.0,8.0,15.81,85.0,1.0
12,2024-10-03 02:00:00,8.0,17.0,15.81,84.0,0.88
13,2024-10-03 02:10:00,8.0,7.0,15.81,83.0,0.88
14,2024-10-03 02:20:00,9.0,14.0,15.63,84.0,0.88
15,2024-10-03 02:30:00,6.0,6.0,15.88,83.0,1.13
16,2024-10-03 02:40:00,6.0,6.0,15.63,83.0,1.19
17,2024-10-03 02:50:00,7.0,15.0,15.38,84.0,1.38
18,2024-10-03 03:00:00,8.0,3.0,15.31,84.0,1.38
19,2024-10-03 03:10:00,8.0,5.0,15.13,85.0,1.63
20,2024-10-03 03:20:00,5.0,10.0,14.88,87.0,1.5
21,2024-10-03 03:30:00,6.0,3.0,15.88,84.0,1.63
22,2024-10-03 03:40:00,2.0,13.0,15.88,85.0,1.5
23,2024-10-03 03:50:00,4.0,5.0,15.88,85.0,1.5
24,2024-10-03 04:00:00,3.0,13.0,15.88,86.0,1.5
25,2024-10-03 04:10:00,1.0,7.0,16.0,88.0,1.38
26,2024-10-03 04:20:00,3.0,15.0,16.13,87.0,1.31
27,2024-10-03 04:30:00,9.0,5.0,16.63,82.0,1.31
28,2024-10-03 04:40:00,5.0,10.0,16.5,83.0,1.31
29,2024-10-03 04:50:00,14.0,6.0,16.5,84.0,1.31
30,2024-10-03 05:00:00,5.0,14.0,16.5,84.0,1.31
31,2024-10-03 05:10:00,8.0,20.0,16.38,85.0,1.31
32,2024-10-03 05:20:00,11.0,28.0,16.38,86.0,1.31
33,2024-10-03 05:30:00,29.0,19.0,16.38,83.0,1.19
34,2024-10-03 05:40:00,31.0,22.0,16.31,84.0,1.31
35,2024-10-03 05:50:00,36.0,49.0,16.19,85.0,1.31
36,2024-10-03 06:00:00,47.0,45.0,16.13,85.0,1.38
37,2024-10-03 06:10:00,30.0,31.0,16.13,86.0,1.38
38,2024-10-03 06:20:00,52.0,39.0,16.13,87.0,1.38
39,2024-10-03 06:30:00,51.0,43.0,16.38,87.0,1.63
40,2024-10-03 06:40:00,60.0,45.0,16.38,88.0,1.5
41,2024-10-03 06:50:00,43.0,75.0,16.13,90.0,1.38
42,2024-10-03 07:00:00,46.0,100.0,16.0,91.0,1.38
43,2024-10-03 07:10:00,47.0,88.0,15.88,92.0,1.31
44,2024-10-03 07:20:00,73.0,79.0,16.13,91.0,1.31
45,2024-10-03 07:30:00,76.0,121.0,16.63,82.0,1.13
46,2024-10-03 07:40:00,68.0,89.0,16.63,82.0,0.88
47,2024-10-03 07:50:00,84.0,111.0,16.69,82.0,0.81
48,2024-10-03 08:00:00,80.0,159.5,16.69,82.0,0.69
49,2024-10-03 08:10:00,78.0,147.0,16.88,81.0,0.63
50,2024-10-03 08:20:00,90.0,137.0,17.13,79.0,0.69
51,2024-10-03 08:30:00,94.0,159.5,17.81,67.0,1.5
52,2024-10-03 08:40:00,99.0,137.0,18.0,65.0,1.38
53,2024-10-03 08:50:00,89.0,159.5,18.19,64.0,1.31
54,2024-10-03 09:00:00,45.0,159.5,18.38,62.0,1.19
55,2024-10-03 09:10:00,62.0,159.5,18.5,61.0,1.19
56,2024-10-03 09:20:00,51.0,159.5,18.69,60.0,1.19
57,2024-10-03 09:30:00,65.0,133.0,18.5,63.0,1.5
58,2024-10-03 09:40:00,74.0,92.0,18.63,63.0,1.63
59,2024-10-03 09:50:00,68.0,80.0,18.63,63.0,1.63
60,2024-10-03 10:00:00,70.0,115.0,18.63,63.0,1.69
61,2024-10-03 10:10:00,100.0,100.0,18.69,63.0,1.69
62,2024-10-03 10:20:00,81.0,113.0,18.81,63.0,1.5
63,2024-10-03 10:30:00,58.0,112.0,19.69,59.0,1.38
64,2024-10-03 10:40:00,57.0,96.0,19.69,59.0,1.19
65,2024-10-03 10:50:00,68.0,90.0,19.81,60.0,1.13
66,2024-10-03 11:00:00,54.0,68.0,19.88,60.0,1.0
67,2024-10-03 11:10:00,62.0,75.0,20.13,60.0,1.0
68,2024-10-03 11:20:00,71.0,76.0,20.31,59.0,1.13
69,2024-10-03 11:30:00,68.0,66.0,20.81,57.0,1.81
70,2024-10-03 11:40:00,88.0,77.0,20.946666666666665,56.666666666666664,1.9766666666666668
71,2024-10-03 11:50:00,93.0,75.0,21.083333333333332,56.333333333333336,2.1433333333333335
72,2024-10-03 12:00:00,75.0,88.0,21.22,56.0,2.31
73,2024-10-03 12:10:00,93.0,94.0,21.356666666666666,55.666666666666664,2.4766666666666666
74,2024-10-03 12:20:00,115.0,79.0,21.493333333333332,55.333333333333336,2.6433333333333335
75,2024-10-03 12:30:00,93.0,110.0,21.63,55.0,2.81
76,2024-10-03 12:40:00,74.0,79.0,21.69,55.0,3.0
77,2024-10-03 12:50:00,109.0,83.0,21.19,57.0,2.88
78,2024-10-03 13:00:00,96.0,105.0,21.31,57.0,3.19
79,2024-10-03 13:10:00,94.0,103.0,21.38,56.0,3.19
80,2024-10-03 13:20:00,111.0,83.0,21.5,55.0,3.0
81,2024-10-03 13:30:00,69.0,95.0,21.0,58.0,2.5
82,2024-10-03 13:40:00,83.0,81.0,21.13,57.0,2.38
83,2024-10-03 13:50:00,64.0,68.0,21.19,57.0,2.38
84,2024-10-03 14:00:00,70.0,84.0,21.31,56.0,2.31
85,2024-10-03 14:10:00,84.0,76.0,21.38,56.0,2.31
86,2024-10-03 14:20:00,88.0,76.0,21.5,55.0,2.31
87,2024-10-03 14:30:00,68.0,88.0,21.63,55.0,2.31
88,2024-10-03 14:40:00,79.0,83.0,21.69,55.0,2.31
89,2024-10-03 14:50:00,82.0,66.0,21.81,54.0,2.19
90,2024-10-03 15:00:00,77.0,85.0,21.81,53.0,2.19
91,2024-10-03 15:10:00,83.0,74.0,21.88,53.0,2.19
92,2024-10-03 15:20:00,71.0,71.0,21.88,52.0,2.19
93,2024-10-03 15:30:00,86.0,71.0,22.0,52.0,2.13
94,2024-10-03 15:40:00,88.0,62.0,21.63,55.0,2.63
95,2024-10-03 15:50:00,76.0,64.0,21.63,55.0,2.63
96,2024-10-03 16:00:00,68.0,104.0,21.69,55.0,2.5
97,2024-10-03 16:10:00,95.0,75.0,21.69,54.0,2.5
98,2024-10-03 16:20:00,87.0,95.0,21.69,54.0,2.38
99,2024-10-03 16:30:00,95.0,75.0,21.69,54.0,2.38
100,2024-10-03 16:40:00,102.0,57.0,21.69,54.0,2.31
101,2024-10-03 16:50:00,138.0,62.0,21.69,54.0,2.19
102,2024-10-03 17:00:00,116.0,87.0,21.81,54.0,3.13
103,2024-10-03 17:10:00,150.5,69.0,21.63,55.0,3.19
104,2024-10-03 17:20:00,150.5,111.0,21.38,56.0,3.13
105,2024-10-03 17:30:00,150.5,86.0,21.19,57.0,3.0
106,2024-10-03 17:40:00,150.5,95.0,20.88,59.0,3.13
107,2024-10-03 17:50:00,140.0,75.0,20.69,61.0,3.19
108,2024-10-03 18:00:00,147.0,93.0,20.38,63.0,3.31
109,2024-10-03 18:10:00,150.5,94.0,20.13,65.0,3.31
110,2024-10-03 18:20:00,150.5,80.0,19.69,66.0,3.19
111,2024-10-03 18:30:00,150.5,95.0,19.38,68.0,3.13
112,2024-10-03 18:40:00,138.0,93.0,19.13,70.0,3.0
113,2024-10-03 18:50:00,150.5,75.0,18.69,72.0,2.88
114,2024-10-03 19:00:00,104.0,98.0,18.5,76.0,2.88
115,2024-10-03 19:10:00,36.0,42.0,18.19,78.0,2.81
116,2024-10-03 19:20:00,93.0,99.0,18.13,80.0,2.69
117,2024-10-03 19:30:00,79.0,87.0,17.88,81.0,2.63
118,2024-10-03 19:40:00,63.0,64.0,17.69,83.0,2.5
119,2024-10-03 19:50:00,77.0,58.0,17.5,85.0,2.38
120,2024-10-03 20:00:00,83.0,42.0,17.38,87.0,2.31
121,2024-10-03 20:10:00,62.0,65.0,17.31,84.0,2.38
122,2024-10-03 20:20:00,82.0,67.0,17.19,85.0,2.38
123,2024-10-03 20:30:00,64.0,53.0,17.13,85.0,2.31
124,2024-10-03 20:40:00,65.0,61.0,17.19,83.0,1.81
125,2024-10-03 20:50:00,57.0,53.0,17.13,84.0,1.69
126,2024-10-03 21:00:00,51.0,55.0,17.0,85.0,1.5
127,2024-10-03 21:10:00,69.0,26.0,16.88,86.0,1.5
128,2024-10-03 21:20:00,49.0,54.0,16.81,86.0,1.5
129,2024-10-03 21:30:00,55.0,55.0,16.88,84.0,1.88
130,2024-10-03 21:40:00,51.0,28.0,16.81,84.0,1.88
131,2024-10-03 21:50:00,51.0,54.0,16.69,84.0,2.0
132,2024-10-03 22:00:00,61.0,41.0,16.63,85.0,2.13
133,2024-10-03 22:10:00,71.0,32.0,16.5,85.0,2.13
134,2024-10-03 22:20:00,65.0,36.0,16.38,86.0,1.88
135,2024-10-03 22:30:00,53.0,57.0,16.19,87.0,1.81
136,2024-10-03 22:40:00,47.0,26.0,16.0,91.0,1.63
137,2024-10-03 22:50:00,43.0,30.0,15.88,91.0,1.63
138,2024-10-03 23:00:00,37.0,43.0,15.69,93.0,1.5
139,2024-10-03 23:10:00,44.0,25.0,15.63,94.0,1.5
140,2024-10-03 23:20:00,34.0,31.0,15.5,94.0,1.38
141,2024-10-03 23:30:00,29.0,33.0,15.63,89.0,0.38
142,2024-10-03 23:40:00,37.0,25.0,15.5,89.0,0.5
143,2024-10-03 23:50:00,28.0,23.0,15.38,90.0,0.63
144,2024-10-04 00:00:00,34.0,21.0,15.31,91.0,0.63
145,2024-10-04 00:10:00,24.0,24.0,15.19,91.0,0.69
146,2024-10-04 00:20:00,45.0,27.0,15.19,92.0,0.81
147,2024-10-04 00:30:00,24.0,25.0,15.19,90.0,0.5
148,2024-10-04 00:40:00,16.0,39.0,15.13,91.0,0.5
149,2024-10-04 00:50:00,32.0,27.0,15.0,92.0,0.5
150,2024-10-04 01:00:00,30.0,23.0,14.88,92.0,0.5
151,2024-10-04 01:10:00,16.0,22.0,14.81,93.0,0.5
152,2024-10-04 01:20:00,12.0,26.0,14.69,93.0,0.63
153,2024-10-04 01:30:00,11.0,15.0,14.63,93.0,0.69
154,2024-10-04 01:40:00,10.0,15.0,14.81,88.0,1.5
155,2024-10-04 01:50:00,19.0,15.0,14.69,88.0,1.69
156,2024-10-04 02:00:00,23.0,13.0,14.63,87.0,1.88
157,2024-10-04 02:10:00,11.0,22.0,14.5,87.0,2.0
158,2024-10-04 02:20:00,11.0,6.0,14.38,88.0,1.88
159,2024-10-04 02:30:00,7.0,11.0,14.31,88.0,1.88
160,2024-10-04 02:40:00,10.0,18.0,14.19,88.0,1.81
161,2024-10-04 02:50:00,12.0,12.0,13.88,89.0,1.69
162,2024-10-04 03:00:00,11.0,25.0,13.88,90.0,1.63
163,2024-10-04 03:10:00,8.0,15.0,13.69,90.0,1.5
