date,time,station_name,num_bikes_available,num_docks_available,bikes_rented,bikes_returned
2024-10-03,00:00:03,E 35 St & Madison Ave,3,45,0,0
2024-10-03,00:00:03,W 50 St & 9 Ave,13,8,0,0
2024-10-03,00:00:03,W 47 St & 6 Ave,1,58,0,0
2024-10-03,00:00:03,Broadway & W 38 St,3,58,0,0
2024-10-03,00:00:03,W 52 St & 5 Ave,0,58,0,0
2024-10-03,00:00:03,Broadway & W 53 St,0,78,0,0
2024-10-03,00:00:03,E 48 St & 5 Ave,0,56,0,0
2024-10-03,00:00:03,Broadway & W 41 St,0,50,0,0
2024-10-03,00:00:03,8 Ave & W 49 St,7,48,0,0
2024-10-03,00:00:03,Broadway & W 48 St,0,97,0,0
2024-10-03,00:00:03,W 35 St & 8 Ave,10,42,0,0
2024-10-03,00:00:03,W 54 St & 9 Ave,27,9,0,0
2024-10-03,00:00:03,E 40 St & Park Ave,0,122,0,0
2024-10-03,00:00:03,W 43 St & 10 Ave,110,0,0,0
2024-10-03,00:00:03,8 Ave & W 52 St,7,22,0,0
2024-10-03,00:00:03,W 56 St & 8 Ave,19,21,0,0
2024-10-03,00:00:03,W 45 St & 8 Ave,23,37,0,0
2024-10-03,00:00:03,Central Park S & 6 Ave,0,66,0,0
2024-10-03,00:00:03,W 43 St & 6 Ave,0,61,0,0
2024-10-03,00:00:03,W 40 St & 7 Ave,1,37,0,0
2024-10-03,00:00:03,8 Ave & W 31 St,34,54,0,0
2024-10-03,00:00:03,7 Ave & W 55 St,0,57,0,0
2024-10-03,00:00:03,W 49 St & 8 Ave,23,43,0,0
2024-10-03,00:00:03,W 42 St & 8 Ave,33,3,0,0
2024-10-03,00:00:03,W 44 St & 5 Ave,0,68,0,0
2024-10-03,00:00:03,9 Ave & W 39 St,33,0,0,0
2024-10-03,00:00:03,W 41 St & 8 Ave,76,21,0,0
2024-10-03,00:00:03,Broadway & W 56 St,10,100,0,0
2024-10-03,00:00:03,W 51 St & Rockefeller Plaza,0,49,0,0
2024-10-03,00:00:03,W 42 St & Dyer Ave,29,0,0,0
2024-10-03,00:00:03,W 37 St & 5 Ave,0,59,0,0
2024-10-03,00:00:03,W 50 St & 10 Ave,46,3,0,0
2024-10-03,00:00:03,6 Ave & W 34 St,7,54,0,0
2024-10-03,00:00:03,W 56 St & 6 Ave,0,51,0,0
2024-10-03,00:00:03,Broadway & W 36 St,7,65,0,0
2024-10-03,00:00:03,W 52 St & 6 Ave,0,53,0,0
2024-10-03,00:00:03,Broadway & W 58 St,2,73,0,0
2024-10-03,00:00:03,8 Ave & W 38 St,32,28,0,0
2024-10-03,00:00:03,W 37 St & Broadway,1,83,0,0
2024-10-03,00:00:03,E 41 St & Madison Ave (SE corner),2,88,0,0
2024-10-03,00:00:03,W 30 St & 8 Ave,32,31,0,0
2024-10-03,00:00:03,W 42 St & 6 Ave,8,40,0,0
2024-10-03,00:00:03,Broadway & W 51 St,0,74,0,0
2024-10-03,00:00:03,W 52 St & 11 Ave,48,0,0,0
2024-10-03,00:00:03,E 43 St & Madison Ave,2,50,0,0
2024-10-03,00:00:03,W 31 St & 7 Ave,23,59,0,0
2024-10-03,00:00:03,7 Ave & Central Park South,2,71,0,0
2024-10-03,00:00:03,E 40 St & 5 Ave,4,86,0,0
2024-10-03,00:00:03,W 47 St & 10 Ave,33,1,0,0
2024-10-03,00:00:03,W 54 St & 6 Ave,1,58,0,0
2024-10-03,00:00:03,6 Ave & W 45 St,1,59,0,0
2024-10-03,00:00:03,6 Ave & W 33 St,38,32,0,0
2024-10-03,00:00:03,W 36 St & 9 Ave,9,32,0,0
2024-10-03,00:00:03,W 47 St & 9 Ave,45,6,0,0
2024-10-03,00:00:03,W 55 St & 6 Ave,0,73,0,0
2024-10-03,00:00:03,W 51 St & 6 Ave,0,78,0,0
2024-10-03,00:00:03,E 39 St & Lexington Ave,3,56,0,0
2024-10-03,00:00:03,W 36 St & 7 Ave,1,32,0,0
2024-10-03,00:00:03,Broadway & W 37 St,0,55,0,0
2024-10-03,00:00:03,W 48 St &  Rockefeller Plaza,1,53,0,0
2024-10-03,00:00:03,W 53 St & 10 Ave,22,1,0,0
2024-10-03,00:00:03,9 Ave & W 45 St,25,0,0,0
2024-10-03,00:05:06,E 40 St & Park Ave,0,122,0,0
2024-10-03,00:05:06,Broadway & W 53 St,0,78,0,0
2024-10-03,00:05:06,E 48 St & 5 Ave,0,56,0,0
2024-10-03,00:05:06,W 52 St & 5 Ave,0,58,0,0
2024-10-03,00:05:06,Broadway & W 41 St,0,50,0,0
2024-10-03,00:05:06,8 Ave & W 49 St,5,50,2,0
2024-10-03,00:05:06,W 54 St & 9 Ave,28,8,0,1
2024-10-03,00:05:06,W 50 St & 9 Ave,13,8,0,0
2024-10-03,00:05:06,E 35 St & Madison Ave,3,45,0,0
2024-10-03,00:05:06,Broadway & W 48 St,0,97,0,0
2024-10-03,00:05:06,W 47 St & 6 Ave,1,58,0,0
2024-10-03,00:05:06,Broadway & W 38 St,2,59,1,0
2024-10-03,00:05:06,W 35 St & 8 Ave,14,36,0,4
2024-10-03,00:05:06,W 49 St & 8 Ave,24,42,0,1
2024-10-03,00:05:06,W 43 St & 6 Ave,0,61,0,0
2024-10-03,00:05:06,7 Ave & W 55 St,0,57,0,0
2024-10-03,00:05:06,8 Ave & W 31 St,36,53,0,2
2024-10-03,00:05:06,9 Ave & W 39 St,33,0,0,0
2024-10-03,00:05:06,W 41 St & 8 Ave,74,23,2,0
2024-10-03,00:05:06,W 56 St & 8 Ave,14,26,5,0
2024-10-03,00:05:06,W 40 St & 7 Ave,1,37,0,0
2024-10-03,00:05:06,8 Ave & W 52 St,7,22,0,0
2024-10-03,00:05:06,Central Park S & 6 Ave,0,66,0,0
2024-10-03,00:05:06,W 43 St & 10 Ave,109,1,1,0
2024-10-03,00:05:06,W 44 St & 5 Ave,0,68,0,0
2024-10-03,00:05:06,W 45 St & 8 Ave,24,38,0,1
2024-10-03,00:05:06,W 42 St & 8 Ave,34,3,0,1
2024-10-03,00:05:06,W 50 St & 10 Ave,46,3,0,0
2024-10-03,00:05:06,W 51 St & Rockefeller Plaza,0,49,0,0
2024-10-03,00:05:06,W 52 St & 6 Ave,0,53,0,0
2024-10-03,00:05:06,Broadway & W 58 St,1,74,1,0
2024-10-03,00:05:06,Broadway & W 56 St,10,100,0,0
2024-10-03,00:05:06,W 42 St & Dyer Ave,29,0,0,0
2024-10-03,00:05:06,8 Ave & W 38 St,33,28,0,1
2024-10-03,00:05:06,W 37 St & 5 Ave,0,59,0,0
2024-10-03,00:05:06,E 41 St & Madison Ave (SE corner),2,88,0,0
2024-10-03,00:05:06,6 Ave & W 34 St,7,54,0,0
2024-10-03,00:05:06,W 37 St & Broadway,1,83,0,0
2024-10-03,00:05:06,W 56 St & 6 Ave,0,51,0,0
2024-10-03,00:05:06,Broadway & W 36 St,8,64,0,1
2024-10-03,00:05:06,E 40 St & 5 Ave,4,86,0,0
2024-10-03,00:05:06,W 31 St & 7 Ave,20,62,3,0
2024-10-03,00:05:06,W 36 St & 9 Ave,10,31,0,1
2024-10-03,00:05:06,W 55 St & 6 Ave,0,73,0,0
2024-10-03,00:05:06,W 30 St & 8 Ave,32,31,0,0
2024-10-03,00:05:06,E 39 St & Lexington Ave,2,56,1,0
2024-10-03,00:05:06,Broadway & W 51 St,0,74,0,0
2024-10-03,00:05:06,7 Ave & Central Park South,2,72,0,0
2024-10-03,00:05:06,W 52 St & 11 Ave,48,0,0,0
2024-10-03,00:05:06,E 43 St & Madison Ave,1,51,1,0
2024-10-03,00:05:06,W 47 St & 10 Ave,33,1,0,0
2024-10-03,00:05:06,W 54 St & 6 Ave,0,59,1,0
2024-10-03,00:05:06,6 Ave & W 45 St,0,60,1,0
2024-10-03,00:05:06,W 51 St & 6 Ave,0,78,0,0
2024-10-03,00:05:06,W 42 St & 6 Ave,8,40,0,0
2024-10-03,00:05:06,6 Ave & W 33 St,38,32,0,0
2024-10-03,00:05:06,W 47 St & 9 Ave,45,6,0,0
2024-10-03,00:05:06,W 48 St &  Rockefeller Plaza,1,53,0,0
2024-10-03,00:05:06,9 Ave & W 45 St,25,0,0,0
2024-10-03,00:05:06,Broadway & W 37 St,0,55,0,0
2024-10-03,00:05:06,W 53 St & 10 Ave,24,0,0,2
2024-10-03,00:05:06,W 36 St & 7 Ave,1,32,0,0
2024-10-03,00:10:08,E 35 St & Madison Ave,2,46,1,0
2024-10-03,00:10:08,W 47 St & 6 Ave,1,58,0,0
2024-10-03,00:10:08,Broadway & W 41 St,0,50,0,0
2024-10-03,00:10:08,Broadway & W 53 St,0,78,0,0
2024-10-03,00:10:08,W 52 St & 5 Ave,0,58,0,0
2024-10-03,00:10:08,W 50 St & 9 Ave,11,10,2,0
2024-10-03,00:10:08,W 54 St & 9 Ave,31,4,0,3
2024-10-03,00:10:08,E 48 St & 5 Ave,0,56,0,0
2024-10-03,00:10:08,E 40 St & Park Ave,0,122,0,0
2024-10-03,00:10:08,Broadway & W 48 St,0,97,0,0
2024-10-03,00:10:08,8 Ave & W 49 St,6,49,0,1
2024-10-03,00:10:08,Broadway & W 38 St,2,58,0,0
2024-10-03,00:10:08,W 35 St & 8 Ave,29,20,0,15
2024-10-03,00:10:08,W 43 St & 10 Ave,110,0,0,1
2024-10-03,00:10:08,W 40 St & 7 Ave,1,37,0,0
2024-10-03,00:10:08,W 56 St & 8 Ave,14,26,0,0
2024-10-03,00:10:08,W 43 St & 6 Ave,0,61,0,0
2024-10-03,00:10:08,Central Park S & 6 Ave,0,66,0,0
2024-10-03,00:10:08,9 Ave & W 39 St,33,0,0,0
2024-10-03,00:10:08,8 Ave & W 31 St,34,55,2,0
2024-10-03,00:10:08,W 41 St & 8 Ave,77,20,0,3
2024-10-03,00:10:08,W 45 St & 8 Ave,24,36,0,0
2024-10-03,00:10:08,7 Ave & W 55 St,0,57,0,0
2024-10-03,00:10:08,W 49 St & 8 Ave,25,40,0,1
2024-10-03,00:10:08,W 44 St & 5 Ave,0,68,0,0
2024-10-03,00:10:08,W 42 St & 8 Ave,33,4,1,0
2024-10-03,00:10:08,8 Ave & W 52 St,8,21,0,1
2024-10-03,00:10:08,W 50 St & 10 Ave,46,3,0,0
2024-10-03,00:10:08,W 51 St & Rockefeller Plaza,0,49,0,0
2024-10-03,00:10:08,W 42 St & Dyer Ave,28,1,1,0
2024-10-03,00:10:08,W 37 St & 5 Ave,0,59,0,0
2024-10-03,00:10:08,6 Ave & W 34 St,7,54,0,0
2024-10-03,00:10:08,W 56 St & 6 Ave,0,51,0,0
2024-10-03,00:10:08,Broadway & W 36 St,8,64,0,0
2024-10-03,00:10:08,Broadway & W 58 St,1,74,0,0
2024-10-03,00:10:08,W 52 St & 6 Ave,0,53,0,0
2024-10-03,00:10:08,8 Ave & W 38 St,34,28,0,1
2024-10-03,00:10:08,Broadway & W 56 St,10,101,0,0
2024-10-03,00:10:08,W 37 St & Broadway,1,83,0,0
2024-10-03,00:10:08,E 41 St & Madison Ave (SE corner),2,88,0,0
2024-10-03,00:10:08,W 51 St & 6 Ave,0,78,0,0
2024-10-03,00:10:08,W 54 St & 6 Ave,0,59,0,0
2024-10-03,00:10:08,E 39 St & Lexington Ave,2,56,0,0
2024-10-03,00:10:08,W 42 St & 6 Ave,7,41,1,0
2024-10-03,00:10:08,E 43 St & Madison Ave,1,51,0,0
2024-10-03,00:10:08,W 52 St & 11 Ave,48,0,0,0
2024-10-03,00:10:08,6 Ave & W 33 St,36,34,2,0
2024-10-03,00:10:08,Broadway & W 51 St,0,74,0,0
2024-10-03,00:10:08,W 30 St & 8 Ave,32,31,0,0
2024-10-03,00:10:08,W 31 St & 7 Ave,20,62,0,0
2024-10-03,00:10:08,E 40 St & 5 Ave,4,86,0,0
2024-10-03,00:10:08,W 47 St & 10 Ave,33,1,0,0
2024-10-03,00:10:08,7 Ave & Central Park South,1,73,1,0
2024-10-03,00:10:08,6 Ave & W 45 St,0,60,0,0
2024-10-03,00:10:08,W 36 St & 9 Ave,10,31,0,0
2024-10-03,00:10:08,W 47 St & 9 Ave,45,6,0,0
2024-10-03,00:10:08,W 55 St & 6 Ave,0,73,0,0
2024-10-03,00:10:08,W 36 St & 7 Ave,1,32,0,0
2024-10-03,00:10:08,Broadway & W 37 St,0,55,0,0
2024-10-03,00:10:08,W 53 St & 10 Ave,24,0,0,0
2024-10-03,00:10:08,9 Ave & W 45 St,24,0,1,0
2024-10-03,00:10:08,W 48 St &  Rockefeller Plaza,1,53,0,0
2024-10-03,00:15:14,Broadway & W 53 St,0,78,0,0
2024-10-03,00:15:14,E 40 St & Park Ave,0,122,0,0
2024-10-03,00:15:14,E 48 St & 5 Ave,0,56,0,0
2024-10-03,00:15:14,W 52 St & 5 Ave,0,58,0,0
2024-10-03,00:15:14,W 35 St & 8 Ave,40,11,0,11
2024-10-03,00:15:14,8 Ave & W 49 St,6,49,0,0
2024-10-03,00:15:14,Broadway & W 41 St,0,50,0,0
2024-10-03,00:15:14,E 35 St & Madison Ave,2,46,0,0
2024-10-03,00:15:14,Broadway & W 48 St,0,97,0,0
2024-10-03,00:15:14,W 47 St & 6 Ave,1,58,0,0
2024-10-03,00:15:14,W 54 St & 9 Ave,32,3,0,1
2024-10-03,00:15:14,W 50 St & 9 Ave,11,11,0,0
2024-10-03,00:15:14,Broadway & W 38 St,2,59,0,0
2024-10-03,00:15:14,W 49 St & 8 Ave,27,39,0,2
2024-10-03,00:15:14,W 43 St & 6 Ave,0,61,0,0
2024-10-03,00:15:14,9 Ave & W 39 St,33,0,0,0
2024-10-03,00:15:14,W 41 St & 8 Ave,77,20,0,0
2024-10-03,00:15:14,8 Ave & W 31 St,32,57,2,0
2024-10-03,00:15:14,W 43 St & 10 Ave,110,0,0,0
2024-10-03,00:15:14,8 Ave & W 52 St,7,22,1,0
2024-10-03,00:15:14,W 56 St & 8 Ave,15,25,0,1
2024-10-03,00:15:14,7 Ave & W 55 St,0,57,0,0
2024-10-03,00:15:14,W 40 St & 7 Ave,1,37,0,0
2024-10-03,00:15:14,W 42 St & 8 Ave,33,4,0,0
2024-10-03,00:15:14,W 45 St & 8 Ave,25,36,0,1
2024-10-03,00:15:14,W 44 St & 5 Ave,0,68,0,0
2024-10-03,00:15:14,Central Park S & 6 Ave,0,66,0,0
2024-10-03,00:15:14,8 Ave & W 38 St,32,30,2,0
2024-10-03,00:15:14,W 56 St & 6 Ave,0,51,0,0
2024-10-03,00:15:14,W 50 St & 10 Ave,48,1,0,2
2024-10-03,00:15:14,W 52 St & 6 Ave,0,53,0,0
2024-10-03,00:15:14,Broadway & W 58 St,1,74,0,0
2024-10-03,00:15:14,W 42 St & Dyer Ave,29,0,0,1
2024-10-03,00:15:14,Broadway & W 56 St,9,101,1,0
2024-10-03,00:15:14,W 51 St & Rockefeller Plaza,0,49,0,0
2024-10-03,00:15:14,Broadway & W 36 St,8,65,0,0
2024-10-03,00:15:14,W 37 St & 5 Ave,0,59,0,0
2024-10-03,00:15:14,W 37 St & Broadway,1,83,0,0
2024-10-03,00:15:14,6 Ave & W 34 St,7,54,0,0
2024-10-03,00:15:14,E 41 St & Madison Ave (SE corner),1,89,1,0
2024-10-03,00:15:14,W 36 St & 9 Ave,10,31,0,0
2024-10-03,00:15:14,W 55 St & 6 Ave,0,73,0,0
2024-10-03,00:15:14,7 Ave & Central Park South,1,76,0,0
2024-10-03,00:15:14,W 30 St & 8 Ave,32,31,0,0
2024-10-03,00:15:14,W 31 St & 7 Ave,18,64,2,0
2024-10-03,00:15:14,W 47 St & 10 Ave,33,1,0,0
2024-10-03,00:15:14,W 54 St & 6 Ave,0,59,0,0
2024-10-03,00:15:14,W 51 St & 6 Ave,0,78,0,0
2024-10-03,00:15:14,6 Ave & W 45 St,0,60,0,0
2024-10-03,00:15:14,E 40 St & 5 Ave,4,86,0,0
2024-10-03,00:15:14,Broadway & W 51 St,1,73,0,1
2024-10-03,00:15:14,6 Ave & W 33 St,37,33,0,1
2024-10-03,00:15:14,W 42 St & 6 Ave,7,41,0,0
2024-10-03,00:15:14,W 52 St & 11 Ave,48,0,0,0
2024-10-03,00:15:14,W 47 St & 9 Ave,46,5,0,1
2024-10-03,00:15:14,E 43 St & Madison Ave,0,52,1,0
2024-10-03,00:15:14,E 39 St & Lexington Ave,2,56,0,0
2024-10-03,00:15:14,W 53 St & 10 Ave,24,0,0,0
2024-10-03,00:15:14,W 48 St &  Rockefeller Plaza,1,53,0,0
2024-10-03,00:15:14,W 36 St & 7 Ave,1,32,0,0
2024-10-03,00:15:14,Broadway & W 37 St,0,55,0,0
2024-10-03,00:15:14,9 Ave & W 45 St,24,0,0,0
2024-10-03,00:20:17,W 47 St & 6 Ave,1,58,0,0
2024-10-03,00:20:17,Broadway & W 41 St,0,50,0,0
2024-10-03,00:20:17,E 48 St & 5 Ave,0,56,0,0
2024-10-03,00:20:17,W 54 St & 9 Ave,33,3,0,1
2024-10-03,00:20:17,Broadway & W 48 St,0,97,0,0
2024-10-03,00:20:17,8 Ave & W 49 St,6,49,0,0
2024-10-03,00:20:17,E 35 St & Madison Ave,2,46,0,0
2024-10-03,00:20:17,Broadway & W 53 St,0,78,0,0
2024-10-03,00:20:17,W 52 St & 5 Ave,0,58,0,0
2024-10-03,00:20:17,W 35 St & 8 Ave,39,12,1,0
2024-10-03,00:20:17,Broadway & W 38 St,1,60,1,0
2024-10-03,00:20:17,W 50 St & 9 Ave,10,11,1,0
2024-10-03,00:20:17,E 40 St & Park Ave,0,122,0,0
2024-10-03,00:20:17,W 43 St & 10 Ave,110,0,0,0
2024-10-03,00:20:17,W 41 St & 8 Ave,77,20,0,0
2024-10-03,00:20:17,8 Ave & W 52 St,7,22,0,0
2024-10-03,00:20:17,Central Park S & 6 Ave,0,66,0,0
2024-10-03,00:20:17,W 56 St & 8 Ave,13,27,2,0
2024-10-03,00:20:17,8 Ave & W 31 St,32,57,0,0
2024-10-03,00:20:17,W 43 St & 6 Ave,0,61,0,0
2024-10-03,00:20:17,9 Ave & W 39 St,32,1,1,0
2024-10-03,00:20:17,W 49 St & 8 Ave,28,38,0,1
2024-10-03,00:20:17,7 Ave & W 55 St,0,57,0,0
2024-10-03,00:20:17,W 42 St & 8 Ave,34,3,0,1
2024-10-03,00:20:17,W 40 St & 7 Ave,1,37,0,0
2024-10-03,00:20:17,W 45 St & 8 Ave,25,37,0,0
2024-10-03,00:20:17,W 44 St & 5 Ave,0,68,0,0
2024-10-03,00:20:17,W 50 St & 10 Ave,49,0,0,1
2024-10-03,00:20:17,Broadway & W 56 St,8,102,1,0
2024-10-03,00:20:17,W 52 St & 6 Ave,0,53,0,0
2024-10-03,00:20:17,W 51 St & Rockefeller Plaza,0,49,0,0
2024-10-03,00:20:17,W 42 St & Dyer Ave,29,0,0,0
2024-10-03,00:20:17,W 37 St & 5 Ave,0,59,0,0
2024-10-03,00:20:17,6 Ave & W 34 St,7,54,0,0
2024-10-03,00:20:17,W 56 St & 6 Ave,0,51,0,0
2024-10-03,00:20:17,Broadway & W 36 St,9,65,0,1
2024-10-03,00:20:17,Broadway & W 58 St,1,74,0,0
2024-10-03,00:20:17,8 Ave & W 38 St,30,32,2,0
2024-10-03,00:20:17,W 37 St & Broadway,1,83,0,0
2024-10-03,00:20:17,E 41 St & Madison Ave (SE corner),1,89,0,0
2024-10-03,00:20:17,W 30 St & 8 Ave,32,31,0,0
2024-10-03,00:20:17,W 55 St & 6 Ave,0,73,0,0
2024-10-03,00:20:17,W 51 St & 6 Ave,0,78,0,0
2024-10-03,00:20:17,W 54 St & 6 Ave,0,59,0,0
2024-10-03,00:20:17,E 43 St & Madison Ave,0,52,0,0
2024-10-03,00:20:17,W 52 St & 11 Ave,48,0,0,0
2024-10-03,00:20:17,E 39 St & Lexington Ave,2,56,0,0
2024-10-03,00:20:17,W 42 St & 6 Ave,7,41,0,0
2024-10-03,00:20:17,Broadway & W 51 St,1,73,0,0
2024-10-03,00:20:17,W 31 St & 7 Ave,18,64,0,0
2024-10-03,00:20:17,7 Ave & Central Park South,0,78,1,0
2024-10-03,00:20:17,E 40 St & 5 Ave,4,86,0,0
2024-10-03,00:20:17,W 47 St & 10 Ave,33,1,0,0
2024-10-03,00:20:17,6 Ave & W 33 St,37,33,0,0
2024-10-03,00:20:17,6 Ave & W 45 St,0,60,0,0
2024-10-03,00:20:17,W 36 St & 9 Ave,10,31,0,0
2024-10-03,00:20:17,W 47 St & 9 Ave,46,5,0,0
2024-10-03,00:20:17,W 36 St & 7 Ave,1,32,0,0
2024-10-03,00:20:17,Broadway & W 37 St,0,55,0,0
2024-10-03,00:20:17,W 53 St & 10 Ave,23,1,1,0
2024-10-03,00:20:17,9 Ave & W 45 St,24,0,0,0
2024-10-03,00:20:17,W 48 St &  Rockefeller Plaza,1,53,0,0
2024-10-03,00:25:17,W 35 St & 8 Ave,39,12,0,0
2024-10-03,00:25:17,W 54 St & 9 Ave,33,3,0,0
2024-10-03,00:25:17,E 40 St & Park Ave,0,122,0,0
2024-10-03,00:25:17,Broadway & W 38 St,1,60,0,0
2024-10-03,00:25:17,W 52 St & 5 Ave,0,58,0,0
2024-10-03,00:25:17,E 35 St & Madison Ave,2,46,0,0
2024-10-03,00:25:17,Broadway & W 41 St,0,50,0,0
