date,time,temperature,humidity,windSpeed,precipitationProbability
2024-10-03,00:00:00,15.13,87,1.5,0
2024-10-03,00:10:00,15,88,1.5,0
2024-10-03,00:20:00,14.88,88,1.38,0
2024-10-03,00:30:00,15.5,87,1.38,0
2024-10-03,00:40:00,15.38,88,1.38,0
2024-10-03,00:50:00,15.13,89,1.63,0
2024-10-03,01:00:00,15,90,1.69,0
2024-10-03,01:10:00,14.81,90,1.69,0
2024-10-03,01:20:00,14.81,90,1.69,0
2024-10-03,01:30:00,15.69,87,1,0
2024-10-03,01:40:00,15.69,86,1,0
2024-10-03,01:50:00,15.81,85,1,0
2024-10-03,02:00:00,15.81,84,0.88,0
2024-10-03,02:10:00,15.81,83,0.88,0
2024-10-03,02:20:00,15.63,84,0.88,0
2024-10-03,02:30:00,15.88,83,1.13,0
2024-10-03,02:40:00,15.63,83,1.19,0
2024-10-03,02:50:00,15.38,84,1.38,0
2024-10-03,03:00:00,15.31,84,1.38,0
2024-10-03,03:10:00,15.13,85,1.63,0
2024-10-03,03:20:00,14.88,87,1.5,0
2024-10-03,03:30:00,15.88,84,1.63,0
2024-10-03,03:40:00,15.88,85,1.5,0
2024-10-03,03:50:00,15.88,85,1.5,0
2024-10-03,04:00:00,15.88,86,1.5,0
2024-10-03,04:10:00,16,88,1.38,0
2024-10-03,04:20:00,16.13,87,1.31,0
2024-10-03,04:30:00,16.63,82,1.31,0
2024-10-03,04:41:00,16.5,83,1.31,0
2024-10-03,04:51:00,16.5,84,1.31,0
2024-10-03,05:01:00,16.5,84,1.31,0
2024-10-03,05:11:00,16.38,85,1.31,0
2024-10-03,05:21:00,16.38,86,1.31,0
2024-10-03,05:31:00,16.38,83,1.19,0
2024-10-03,05:41:00,16.31,84,1.31,0
2024-10-03,05:51:00,16.19,85,1.31,0
2024-10-03,06:01:00,16.13,85,1.38,0
2024-10-03,06:11:00,16.13,86,1.38,0
2024-10-03,06:21:00,16.13,87,1.38,0
2024-10-03,06:31:00,16.38,87,1.63,0
2024-10-03,06:41:00,16.38,88,1.5,0
2024-10-03,06:51:00,16.13,90,1.38,0
2024-10-03,07:01:00,16,91,1.38,0
2024-10-03,07:11:00,15.88,92,1.31,0
2024-10-03,07:21:00,16.13,91,1.31,0
2024-10-03,07:31:00,16.63,82,1.13,0
2024-10-03,07:41:00,16.63,82,0.88,0
2024-10-03,07:51:00,16.69,82,0.81,0
2024-10-03,08:01:00,16.69,82,0.69,0
2024-10-03,08:11:00,16.88,81,0.63,0
2024-10-03,08:21:00,17.13,79,0.69,0
2024-10-03,08:31:00,17.81,67,1.5,0
2024-10-03,08:41:00,18,65,1.38,0
2024-10-03,08:51:00,18.19,64,1.31,0
2024-10-03,09:01:00,18.38,62,1.19,0
2024-10-03,09:11:00,18.5,61,1.19,0
2024-10-03,09:21:00,18.69,60,1.19,0
2024-10-03,09:31:00,18.5,63,1.5,0
2024-10-03,09:41:00,18.63,63,1.63,0
2024-10-03,09:51:00,18.63,63,1.63,0
2024-10-03,10:01:00,18.63,63,1.69,0
2024-10-03,10:11:00,18.69,63,1.69,0
2024-10-03,10:21:00,18.81,63,1.5,0
2024-10-03,10:31:00,19.69,59,1.38,0
2024-10-03,10:41:00,19.69,59,1.19,0
2024-10-03,10:51:00,19.81,60,1.13,0
2024-10-03,11:01:00,19.88,60,1,0
2024-10-03,11:11:00,20.13,60,1,0
2024-10-03,11:21:00,20.31,59,1.13,0
2024-10-03,11:31:00,20.81,57,1.81,0
2024-10-03,12:30:00,21.63,55,2.81,0
2024-10-03,12:40:00,21.69,55,3,0
2024-10-03,12:50:00,21.19,57,2.88,0
2024-10-03,13:00:00,21.31,57,3.19,0
2024-10-03,13:10:00,21.38,56,3.19,0
2024-10-03,13:20:00,21.5,55,3,0
2024-10-03,13:30:00,21,58,2.5,0
2024-10-03,13:40:00,21.13,57,2.38,0
2024-10-03,13:50:00,21.19,57,2.38,0
2024-10-03,14:00:00,21.31,56,2.31,0
2024-10-03,14:10:00,21.38,56,2.31,0
2024-10-03,14:20:00,21.5,55,2.31,0
2024-10-03,14:30:00,21.63,55,2.31,0
2024-10-03,14:40:00,21.69,55,2.31,0
